date,GISS,HAD,NOAA,RSS,UAH
188612,-0.32,-0.266,-0.0829,null,null
188701,-0.65,-0.421,-0.3855,null,null
188702,-0.54,-0.504,-0.3657,null,null
188703,-0.36,-0.359,-0.1686,null,null
188704,-0.42,-0.395,-0.1912,null,null
188705,-0.3,-0.286,-0.1502,null,null
188706,-0.22,-0.398,-0.2083,null,null
188707,-0.09,-0.232,-0.204,null,null
188708,-0.27,-0.367,-0.2696,null,null
188709,-0.26,-0.301,-0.2268,null,null
188710,-0.41,-0.499,-0.306,null,null
188711,-0.35,-0.437,-0.1737,null,null
188712,-0.4,-0.439,-0.1835,null,null
188801,-0.43,-0.654,-0.4118,null,null
188802,-0.48,-0.514,-0.321,null,null
188803,-0.46,-0.583,-0.2652,null,null
188804,-0.35,-0.244,-0.107,null,null
188805,-0.28,-0.333,-0.1889,null,null
188806,-0.25,-0.262,-0.135,null,null
188807,-0.19,-0.346,-0.0947,null,null
188808,-0.23,-0.29,-0.1619,null,null
188809,-0.19,-0.256,-0.0805,null,null
188810,-0.11,-0.148,-0.0015,null,null
188811,-0.05,-0.209,-0.0374,null,null
188812,-0.21,-0.2,0.0502,null,null
188901,-0.22,-0.137,-0.084,null,null
188902,0.07,-0.115,7.00E-04,null,null
188903,-0.02,-0.071,0.1161,null,null
188904,-0.04,-0.009,0.0675,null,null
188905,-0.07,-0.104,-0.0249,null,null
188906,-0.13,-0.156,-0.1013,null,null
188907,-0.17,-0.21,-0.1105,null,null
188908,-0.25,-0.255,-0.1192,null,null
188909,-0.21,-0.369,-0.2154,null,null
188910,-0.32,-0.33,-0.2451,null,null
188911,-0.37,-0.42,-0.309,null,null
188912,-0.32,-0.134,-0.1506,null,null
189001,-0.49,-0.295,-0.2515,null,null
189002,-0.42,-0.352,-0.3012,null,null
189003,-0.35,-0.434,-0.3076,null,null
189004,-0.36,-0.333,-0.2588,null,null
189005,-0.51,-0.44,-0.3929,null,null
189006,-0.39,-0.405,-0.2792,null,null
189007,-0.31,-0.442,-0.2108,null,null
189008,-0.37,-0.456,-0.3008,null,null
189009,-0.39,-0.486,-0.3182,null,null
189010,-0.25,-0.535,-0.2703,null,null
189011,-0.51,-0.594,-0.3515,null,null
189012,-0.34,-0.41,-0.2522,null,null
189101,-0.49,-0.528,-0.3485,null,null
189102,-0.53,-0.523,-0.4917,null,null
189103,-0.18,-0.411,-0.2185,null,null
189104,-0.31,-0.381,-0.2217,null,null
189105,-0.22,-0.25,-0.2041,null,null
189106,-0.23,-0.359,-0.2576,null,null
189107,-0.24,-0.39,-0.1981,null,null
189108,-0.2,-0.372,-0.2019,null,null
189109,-0.18,-0.22,-0.1297,null,null
189110,-0.25,-0.36,-0.2771,null,null
189111,-0.38,-0.604,-0.3753,null,null
189112,-0.09,-0.174,-0.0815,null,null
189201,-0.37,-0.449,-0.2735,null,null
189202,-0.12,-0.163,-0.1316,null,null
189203,-0.34,-0.471,-0.2379,null,null
189204,-0.44,-0.515,-0.3247,null,null
189205,-0.33,-0.452,-0.2905,null,null
189206,-0.22,-0.462,-0.2957,null,null
189207,-0.3,-0.547,-0.3317,null,null
189208,-0.29,-0.464,-0.3185,null,null
189209,-0.21,-0.367,-0.1842,null,null
189210,-0.28,-0.487,-0.2157,null,null
189211,-0.43,-0.649,-0.4285,null,null
189212,-0.46,-0.818,-0.4407,null,null
189301,-0.82,-0.972,-0.7082,null,null
189302,-0.58,-0.75,-0.6574,null,null
189303,-0.2,-0.415,-0.2145,null,null
189304,-0.36,-0.589,-0.3551,null,null
189305,-0.38,-0.607,-0.3623,null,null
189306,-0.28,-0.488,-0.254,null,null
189307,-0.1,-0.301,-0.1822,null,null
189308,-0.27,-0.33,-0.2911,null,null
189309,-0.26,-0.462,-0.2553,null,null
189310,-0.17,-0.329,-0.2111,null,null
189311,-0.19,-0.463,-0.1567,null,null
189312,-0.33,-0.368,-0.2441,null,null
189401,-0.49,-0.463,-0.4144,null,null
189402,-0.33,-0.437,-0.1981,null,null
189403,-0.24,-0.409,-0.2227,null,null
189404,-0.43,-0.431,-0.3866,null,null
189405,-0.35,-0.474,-0.3454,null,null
189406,-0.43,-0.508,-0.3383,null,null
189407,-0.19,-0.355,-0.2542,null,null
189408,-0.24,-0.382,-0.2271,null,null
189409,-0.35,-0.501,-0.2389,null,null
189410,-0.27,-0.492,-0.2344,null,null
189411,-0.37,-0.456,-0.3241,null,null
189412,-0.28,-0.427,-0.2401,null,null
189501,-0.54,-0.503,-0.4192,null,null
189502,-0.49,-0.731,-0.355,null,null
189503,-0.3,-0.564,-0.2448,null,null
189504,-0.26,-0.451,-0.15,null,null
189505,-0.29,-0.442,-0.2568,null,null
189506,-0.21,-0.361,-0.2913,null,null
189507,-0.18,-0.393,-0.2201,null,null
189508,-0.18,-0.293,-0.2135,null,null
189509,-0.11,-0.258,-0.1253,null,null
189510,-0.16,-0.386,-0.0871,null,null
189511,-0.12,-0.323,-0.1179,null,null
189512,-0.19,-0.351,-0.0815,null,null
189601,-0.23,-0.242,-0.1193,null,null
189602,-0.17,-0.235,-0.0986,null,null
189603,-0.3,-0.401,-0.2384,null,null
189604,-0.37,-0.359,-0.2776,null,null
189605,-0.14,-0.248,-0.1092,null,null
189606,-0.11,-0.145,-0.101,null,null
189607,-0.05,-0.145,-0.0534,null,null
189608,-0.08,-0.112,-0.0241,null,null
189609,-0.08,-0.144,-0.0229,null,null
189610,0.03,-0.154,-0.0059,null,null
189611,-0.13,-0.29,-0.1735,null,null
189612,-0.1,-0.071,0.0541,null,null
189701,-0.17,-0.263,-0.1444,null,null
189702,-0.16,-0.161,-0.0959,null,null
189703,-0.16,-0.311,-0.1812,null,null
189704,-0.06,-0.092,-0.018,null,null
189705,-0.02,-0.075,-0.0633,null,null
189706,-0.11,-0.189,-0.1551,null,null
189707,-0.04,-0.19,-0.0661,null,null
189708,-0.07,-0.192,-0.1045,null,null
189709,-0.12,-0.174,-0.0286,null,null
189710,-0.11,-0.303,-0.1443,null,null
189711,-0.2,-0.494,-0.2372,null,null
189712,-0.13,-0.495,-0.2768,null,null
189801,0,-0.137,-0.0164,null,null
189802,-0.24,-0.398,-0.2748,null,null
189803,-0.47,-0.738,-0.6306,null,null
189804,-0.27,-0.587,-0.3232,null,null
189805,-0.34,-0.483,-0.236,null,null
189806,-0.17,-0.332,-0.1793,null,null
189807,-0.21,-0.404,-0.2261,null,null
189808,-0.22,-0.349,-0.213,null,null
189809,-0.21,-0.347,-0.1957,null,null
189810,-0.29,-0.576,-0.3297,null,null
189811,-0.38,-0.476,-0.2804,null,null
189812,-0.27,-0.395,-0.0552,null,null
189901,-0.21,-0.233,-0.0606,null,null
189902,-0.38,-0.528,-0.2848,null,null
189903,-0.28,-0.571,-0.2575,null,null
189904,-0.16,-0.36,-0.137,null,null
189905,-0.15,-0.338,-0.1547,null,null
189906,-0.26,-0.407,-0.2611,null,null
189907,-0.1,-0.326,-0.1642,null,null
189908,-0.07,-0.188,-0.0941,null,null
189909,-0.08,-0.183,-0.0313,null,null
189910,-0.02,-0.222,-0.0518,null,null
189911,0.13,0.018,0.1426,null,null
189912,-0.27,-0.462,-0.2031,null,null
190001,-0.34,-0.252,-0.3045,null,null
190002,0.05,-0.208,-0.0828,null,null
190003,-0.02,-0.311,-0.0055,null,null
190004,-0.1,-0.269,-0.1327,null,null
190005,-0.07,-0.278,-0.107,null,null
190006,-0.06,-0.185,-0.1224,null,null
190007,-0.08,-0.214,-0.1446,null,null
190008,-0.09,-0.227,-0.098,null,null
190009,-0.05,-0.246,-0.1036,null,null
190010,0.01,-0.105,-0.0057,null,null
190011,-0.14,-0.297,-0.1816,null,null
190012,-0.07,-0.106,-0.0058,null,null
190101,-0.2,-0.206,-0.1741,null,null
190102,-0.02,-0.305,-0.0817,null,null
190103,0.02,-0.307,-0.0067,null,null
190104,-0.02,-0.25,-0.0612,null,null
190105,-0.14,-0.233,-0.1466,null,null
190106,-0.13,-0.203,-0.1167,null,null
190107,-0.14,-0.217,-0.1279,null,null
190108,-0.17,-0.239,-0.1667,null,null
190109,-0.21,-0.386,-0.2251,null,null
190110,-0.26,-0.348,-0.3378,null,null
190111,-0.22,-0.461,-0.2184,null,null
190112,-0.26,-0.478,-0.3068,null,null
190201,-0.14,-0.256,-0.0673,null,null
190202,0.05,-0.316,-0.0082,null,null
190203,-0.22,-0.424,-0.1628,null,null
190204,-0.24,-0.483,-0.2428,null,null
190205,-0.27,-0.43,-0.2522,null,null
190206,-0.27,-0.485,-0.2746,null,null
190207,-0.17,-0.429,-0.2815,null,null
190208,-0.26,-0.402,-0.2474,null,null
190209,-0.24,-0.402,-0.211,null,null
190210,-0.32,-0.499,-0.2836,null,null
190211,-0.4,-0.533,-0.3128,null,null
190212,-0.44,-0.537,-0.3317,null,null
190301,-0.25,-0.289,-0.1965,null,null
190302,0.05,-0.196,-0.0315,null,null
190303,-0.13,-0.376,-0.2404,null,null
190304,-0.36,-0.495,-0.3385,null,null
190305,-0.32,-0.504,-0.3833,null,null
190306,-0.42,-0.594,-0.4029,null,null
190307,-0.27,-0.5,-0.3781,null,null
190308,-0.38,-0.635,-0.3829,null,null
190309,-0.43,-0.576,-0.3968,null,null
190310,-0.41,-0.676,-0.4732,null,null
190311,-0.31,-0.623,-0.444,null,null
190312,-0.42,-0.659,-0.4213,null,null
190401,-0.54,-0.705,-0.5485,null,null
190402,-0.46,-0.645,-0.4263,null,null
190403,-0.33,-0.665,-0.4836,null,null
190404,-0.41,-0.58,-0.4427,null,null
190405,-0.4,-0.584,-0.3993,null,null
190406,-0.33,-0.562,-0.3951,null,null
190407,-0.33,-0.575,-0.422,null,null
190408,-0.33,-0.52,-0.3682,null,null
190409,-0.38,-0.497,-0.3971,null,null
190410,-0.3,-0.504,-0.3401,null,null
190411,-0.11,-0.4,-0.1219,null,null
190412,-0.23,-0.427,-0.1818,null,null
190501,-0.29,-0.512,-0.2541,null,null
190502,-0.53,-0.714,-0.5758,null,null
190503,-0.19,-0.498,-0.3774,null,null
190504,-0.31,-0.576,-0.3734,null,null
190505,-0.28,-0.384,-0.2408,null,null
190506,-0.24,-0.367,-0.2142,null,null
190507,-0.2,-0.325,-0.1911,null,null
190508,-0.17,-0.319,-0.19,null,null
190509,-0.16,-0.338,-0.2102,null,null
190510,-0.24,-0.394,-0.2606,null,null
190511,-0.08,-0.27,-0.0824,null,null
190512,-0.2,-0.251,-0.1113,null,null
190601,-0.26,-0.146,-0.1074,null,null
190602,-0.3,-0.271,-0.2419,null,null
190603,-0.18,-0.321,-0.1368,null,null
190604,-0.02,-0.151,-0.0612,null,null
190605,-0.2,-0.373,-0.1742,null,null
190606,-0.14,-0.34,-0.1546,null,null
190607,-0.21,-0.354,-0.2587,null,null
190608,-0.11,-0.362,-0.243,null,null
190609,-0.2,-0.39,-0.263,null,null
190610,-0.14,-0.406,-0.2667,null,null
190611,-0.36,-0.506,-0.3749,null,null
190612,-0.12,-0.341,-0.1663,null,null
190701,-0.42,-0.463,-0.3368,null,null
190702,-0.48,-0.539,-0.4196,null,null
190703,-0.26,-0.375,-0.2844,null,null
190704,-0.45,-0.54,-0.3804,null,null
190705,-0.49,-0.605,-0.4861,null,null
190706,-0.43,-0.574,-0.4044,null,null
190707,-0.37,-0.429,-0.3543,null,null
190708,-0.39,-0.501,-0.2916,null,null
190709,-0.28,-0.457,-0.3004,null,null
190710,-0.25,-0.418,-0.2914,null,null
190711,-0.43,-0.614,-0.5049,null,null
190712,-0.41,-0.569,-0.3947,null,null
190801,-0.39,-0.478,-0.3302,null,null
190802,-0.26,-0.488,-0.3515,null,null
190803,-0.46,-0.654,-0.5677,null,null
190804,-0.4,-0.572,-0.438,null,null
190805,-0.33,-0.541,-0.3488,null,null
190806,-0.25,-0.519,-0.3748,null,null
190807,-0.23,-0.544,-0.356,null,null
190808,-0.33,-0.553,-0.3942,null,null
190809,-0.21,-0.485,-0.3203,null,null
190810,-0.3,-0.631,-0.4437,null,null
190811,-0.39,-0.629,-0.4319,null,null
190812,-0.39,-0.611,-0.3472,null,null
190901,-0.58,-0.595,-0.5331,null,null
190902,-0.38,-0.6,-0.4186,null,null
190903,-0.42,-0.703,-0.4708,null,null
190904,-0.45,-0.658,-0.5559,null,null
190905,-0.42,-0.624,-0.4379,null,null
190906,-0.38,-0.55,-0.4226,null,null
190907,-0.32,-0.608,-0.3887,null,null
190908,-0.19,-0.379,-0.2697,null,null
190909,-0.22,-0.382,-0.3017,null,null
190910,-0.21,-0.511,-0.3685,null,null
190911,-0.18,-0.475,-0.2418,null,null
190912,-0.4,-0.691,-0.4278,null,null
191001,-0.31,-0.412,-0.3191,null,null
191002,-0.32,-0.596,-0.3732,null,null
191003,-0.34,-0.481,-0.4263,null,null
191004,-0.34,-0.484,-0.3706,null,null
191005,-0.34,-0.553,-0.3784,null,null
191006,-0.33,-0.56,-0.3627,null,null
191007,-0.2,-0.482,-0.3081,null,null
191008,-0.24,-0.507,-0.3338,null,null
191009,-0.29,-0.496,-0.3549,null,null
191010,-0.31,-0.553,-0.4121,null,null
191011,-0.41,-0.716,-0.4601,null,null
191012,-0.55,-0.726,-0.53,null,null
191101,-0.52,-0.589,-0.5222,null,null
191102,-0.47,-0.774,-0.5647,null,null
191103,-0.49,-0.719,-0.5888,null,null
191104,-0.48,-0.741,-0.5168,null,null
191105,-0.41,-0.64,-0.4863,null,null
191106,-0.38,-0.585,-0.4527,null,null
191107,-0.24,-0.544,-0.4416,null,null
191108,-0.28,-0.534,-0.3897,null,null
191109,-0.25,-0.524,-0.3287,null,null
191110,-0.19,-0.523,-0.2839,null,null
191111,-0.17,-0.45,-0.2292,null,null
191112,-0.17,-0.358,-0.1703,null,null
191201,-0.24,-0.4,-0.257,null,null
191202,-0.12,-0.393,-0.1291,null,null
191203,-0.32,-0.434,-0.3231,null,null
191204,-0.19,-0.388,-0.2268,null,null
191205,-0.2,-0.425,-0.2289,null,null
191206,-0.19,-0.371,-0.2598,null,null
191207,-0.39,-0.497,-0.3558,null,null
191208,-0.52,-0.594,-0.4491,null,null
191209,-0.45,-0.6,-0.517,null,null
191210,-0.52,-0.695,-0.53,null,null
191211,-0.32,-0.568,-0.4076,null,null
191212,-0.35,-0.533,-0.3921,null,null
191301,-0.37,-0.533,-0.3671,null,null
191302,-0.34,-0.569,-0.4144,null,null
191303,-0.38,-0.594,-0.4268,null,null
191304,-0.34,-0.508,-0.3291,null,null
191305,-0.38,-0.558,-0.391,null,null
191306,-0.43,-0.554,-0.3609,null,null
191307,-0.29,-0.504,-0.3178,null,null
191308,-0.24,-0.44,-0.3118,null,null
191309,-0.27,-0.476,-0.3512,null,null
191310,-0.32,-0.495,-0.3329,null,null
191311,-0.2,-0.335,-0.1428,null,null
191312,-0.03,-0.305,-0.0485,null,null
191401,-0.03,-0.134,0.0664,null,null
191402,-0.11,-0.315,-0.1417,null,null
191403,-0.22,-0.395,-0.1843,null,null
191404,-0.25,-0.433,-0.2577,null,null
191405,-0.16,-0.334,-0.154,null,null
191406,-0.17,-0.33,-0.2146,null,null
191407,-0.18,-0.39,-0.2706,null,null
191408,-0.14,-0.269,-0.2127,null,null
191409,-0.17,-0.315,-0.1678,null,null
191410,-0.01,-0.223,-0.0973,null,null
191411,-0.17,-0.228,-0.1229,null,null
191412,-0.16,-0.301,-0.1355,null,null
191501,-0.22,-0.175,-0.1559,null,null
191502,-0.08,-0.107,-0.0348,null,null
191503,-0.15,-0.258,-0.1262,null,null
191504,0,-0.116,-0.0291,null,null
191505,-0.01,-0.279,-0.0899,null,null
191506,-0.02,-0.299,-0.0878,null,null
191507,-0.01,-0.169,-0.0323,null,null
191508,-0.12,-0.141,-0.0644,null,null
191509,-0.07,-0.199,-0.1155,null,null
191510,-0.2,-0.312,-0.2131,null,null
191511,-0.09,-0.192,6.00E-04,null,null
191512,-0.19,-0.326,-0.0256,null,null
191601,-0.17,-0.287,-0.1525,null,null
191602,-0.17,-0.236,-0.1812,null,null
191603,-0.33,-0.452,-0.2832,null,null
191604,-0.27,-0.385,-0.1999,null,null
191605,-0.33,-0.42,-0.2426,null,null
191606,-0.37,-0.536,-0.3329,null,null
191607,-0.29,-0.423,-0.2508,null,null
191608,-0.22,-0.397,-0.2935,null,null
191609,-0.28,-0.388,-0.2794,null,null
191610,-0.19,-0.434,-0.2547,null,null
191611,-0.37,-0.613,-0.3635,null,null
191612,-0.65,-0.651,-0.5633,null,null
191701,-0.42,-0.705,-0.3922,null,null
191702,-0.53,-0.769,-0.4664,null,null
191703,-0.47,-0.859,-0.4253,null,null
191704,-0.4,-0.544,-0.334,null,null
191705,-0.57,-0.698,-0.4394,null,null
191706,-0.37,-0.381,-0.3291,null,null
191707,-0.18,-0.17,-0.1787,null,null
191708,-0.23,-0.251,-0.1858,null,null
191709,-0.17,-0.164,-0.1511,null,null
191710,-0.38,-0.442,-0.3237,null,null
191711,-0.31,-0.442,-0.173,null,null
191712,-0.69,-0.661,-0.5348,null,null
191801,-0.51,-0.553,-0.2277,null,null
191802,-0.45,-0.582,-0.2852,null,null
191803,-0.29,-0.479,-0.1944,null,null
191804,-0.44,-0.546,-0.3416,null,null
191805,-0.47,-0.473,-0.2705,null,null
191806,-0.34,-0.361,-0.2035,null,null
191807,-0.27,-0.379,-0.196,null,null
191808,-0.38,-0.421,-0.1923,null,null
191809,-0.22,-0.326,-0.1809,null,null
191810,-0.07,-0.177,-0.0713,null,null
191811,-0.21,-0.12,-0.1128,null,null
191812,-0.33,-0.242,-0.3284,null,null
191901,-0.16,-0.176,-0.2394,null,null
191902,-0.2,-0.102,-0.0785,null,null
191903,-0.18,-0.36,-0.2361,null,null
191904,-0.09,-0.182,-0.0832,null,null
191905,-0.17,-0.325,-0.2526,null,null
191906,-0.18,-0.288,-0.2594,null,null
191907,-0.18,-0.381,-0.2303,null,null
191908,-0.15,-0.393,-0.2273,null,null
191909,-0.12,-0.279,-0.1896,null,null
191910,-0.18,-0.368,-0.2246,null,null
191911,-0.45,-0.61,-0.3733,null,null
191912,-0.32,-0.494,-0.3065,null,null
192001,-0.12,-0.337,-0.1118,null,null
192002,-0.21,-0.538,-0.2366,null,null
192003,0,-0.182,-0.0487,null,null
192004,-0.13,-0.333,-0.1925,null,null
192005,-0.09,-0.25,-0.1444,null,null
192006,-0.18,-0.259,-0.2029,null,null
192007,-0.23,-0.354,-0.1749,null,null
192008,-0.18,-0.298,-0.204,null,null
192009,-0.19,-0.215,-0.2179,null,null
192010,-0.26,-0.298,-0.2453,null,null
192011,-0.28,-0.327,-0.2773,null,null
192012,-0.45,-0.374,-0.3926,null,null
192101,-0.05,-0.22,-0.0445,null,null
192102,-0.17,-0.28,-0.1526,null,null
192103,-0.14,-0.329,-0.1944,null,null
192104,-0.16,-0.291,-0.1516,null,null
192105,-0.2,-0.226,-0.136,null,null
192106,-0.13,-0.166,-0.1279,null,null
192107,-0.01,-0.193,-0.098,null,null
192108,-0.27,-0.336,-0.1848,null,null
192109,-0.2,-0.208,-0.1491,null,null
192110,-0.08,-0.202,-0.086,null,null
192111,-0.16,-0.394,-0.2285,null,null
192112,-0.17,-0.28,-0.1107,null,null
192201,-0.32,-0.449,-0.3062,null,null
192202,-0.37,-0.378,-0.2522,null,null
192203,-0.21,-0.372,-0.0984,null,null
192204,-0.26,-0.337,-0.1383,null,null
192205,-0.31,-0.445,-0.2482,null,null
192206,-0.25,-0.386,-0.2654,null,null
192207,-0.18,-0.325,-0.2727,null,null
192208,-0.27,-0.381,-0.2604,null,null
192209,-0.3,-0.366,-0.2525,null,null
192210,-0.26,-0.395,-0.2288,null,null
192211,-0.16,-0.374,-0.1598,null,null
192212,-0.19,-0.383,-0.1578,null,null
192301,-0.24,-0.305,-0.2044,null,null
192302,-0.28,-0.486,-0.3404,null,null
192303,-0.23,-0.459,-0.2339,null,null
192304,-0.35,-0.44,-0.3442,null,null
192305,-0.36,-0.362,-0.238,null,null
192306,-0.22,-0.297,-0.2031,null,null
192307,-0.27,-0.455,-0.2986,null,null
192308,-0.31,-0.43,-0.2661,null,null
192309,-0.27,-0.393,-0.2465,null,null
192310,-0.09,-0.37,-0.1363,null,null
192311,0.02,-0.099,0.0275,null,null
192312,-0.01,-0.07,0.0349,null,null
192401,-0.23,-0.361,-0.176,null,null
192402,-0.26,-0.244,-0.1408,null,null
192403,-0.1,-0.339,-0.0629,null,null
192404,-0.33,-0.351,-0.1971,null,null
192405,-0.22,-0.324,-0.1443,null,null
192406,-0.21,-0.313,-0.1627,null,null
192407,-0.2,-0.364,-0.1892,null,null
192408,-0.22,-0.302,-0.227,null,null
192409,-0.24,-0.383,-0.1976,null,null
192410,-0.24,-0.339,-0.2067,null,null
192411,-0.13,-0.412,-0.1613,null,null
192412,-0.3,-0.607,-0.3217,null,null
192501,-0.32,-0.487,-0.3049,null,null
192502,-0.27,-0.331,-0.291,null,null
192503,-0.18,-0.27,-0.1472,null,null
192504,-0.18,-0.314,-0.0909,null,null
192505,-0.24,-0.323,-0.1758,null,null
192506,-0.28,-0.309,-0.2005,null,null
192507,-0.2,-0.269,-0.1768,null,null
192508,-0.14,-0.181,-0.1354,null,null
192509,-0.16,-0.227,-0.0695,null,null
192510,-0.21,-0.374,-0.1271,null,null
192511,0,-0.147,0.0539,null,null
192512,0.15,-0.059,0.1678,null,null
192601,0.2,0.004,0.1581,null,null
192602,0.11,-0.128,0.1152,null,null
192603,0.22,-0.076,0.1199,null,null
192604,-0.08,-0.221,-0.0695,null,null
192605,-0.14,-0.239,-0.0875,null,null
192606,-0.16,-0.153,-0.1027,null,null
192607,-0.08,-0.317,-0.1279,null,null
192608,0.01,-0.094,-0.033,null,null
192609,-0.05,-0.153,-0.0302,null,null
192610,-0.01,-0.145,-0.0139,null,null
192611,-0.05,-0.175,-0.0134,null,null
192612,-0.21,-0.242,-0.1339,null,null
192701,-0.2,-0.285,-0.1351,null,null
192702,-0.06,-0.216,-0.1358,null,null
192703,-0.31,-0.36,-0.2148,null,null
192704,-0.24,-0.289,-0.1754,null,null
192705,-0.21,-0.279,-0.1239,null,null
192706,-0.17,-0.253,-0.1272,null,null
192707,-0.06,-0.202,-0.0802,null,null
192708,-0.16,-0.186,-0.0995,null,null
192709,-0.08,-0.172,0.0112,null,null
192710,0.03,-0.098,0.0913,null,null
192711,-0.02,-0.264,0.0189,null,null
192712,-0.3,-0.448,-0.2245,null,null
192801,0.03,-0.147,0.0311,null,null
192802,-0.03,-0.233,-0.0761,null,null
192803,-0.19,-0.409,-0.1738,null,null
192804,-0.25,-0.306,-0.1624,null,null
192805,-0.25,-0.292,-0.1069,null,null
192806,-0.28,-0.376,-0.1715,null,null
192807,-0.11,-0.195,-0.1076,null,null
192808,-0.16,-0.22,-0.1379,null,null
192809,-0.11,-0.261,-0.086,null,null
192810,-0.11,-0.194,-0.0577,null,null
192811,-0.01,-0.174,0.0123,null,null
192812,-0.08,-0.254,-0.0759,null,null
192901,-0.32,-0.452,-0.3611,null,null
192902,-0.43,-0.676,-0.4473,null,null
192903,-0.23,-0.465,-0.1757,null,null
192904,-0.3,-0.387,-0.2024,null,null
192905,-0.31,-0.414,-0.2065,null,null
192906,-0.32,-0.368,-0.2433,null,null
192907,-0.28,-0.401,-0.2469,null,null
192908,-0.24,-0.232,-0.1606,null,null
192909,-0.21,-0.309,-0.1301,null,null
192910,-0.07,-0.208,-0.0308,null,null
192911,-0.01,-0.118,-0.0091,null,null
192912,-0.41,-0.487,-0.4255,null,null
193001,-0.17,-0.376,-0.2544,null,null
193002,-0.15,-0.255,-0.097,null,null
193003,-0.04,-0.185,0.0189,null,null
193004,-0.17,-0.208,-0.1292,null,null
193005,-0.18,-0.217,-0.1426,null,null
193006,-0.15,-0.197,-0.0724,null,null
193007,-0.1,-0.176,-0.0148,null,null
193008,-0.04,-0.084,-0.016,null,null
193009,-0.08,-0.093,-0.0112,null,null
193010,-0.09,-0.093,0.0493,null,null
193011,0.17,0.028,0.2119,null,null
